Port# , Lane# , PRE3 , PRE2 , PRE , MAIN , POST , POST2
56,3,0,0,-5,157,0,0
56,4,0,0,-9,123,-29,0
56,5,0,0,-8,131,-8,0
56,6,0,0,-12,137,-12,0
56,7,0,0,-27,137,0,0
56,8,0,0,-8,117,-28,0
57,1,0,2,0,155,-5,0
57,2,0,0,0,162,0,0
57,3,0,0,0,153,-9,0
57,4,0,0,0,161,0,0
57,5,0,0,-13,144,-4,0
57,6,0,0,0,165,0,0
57,7,0,0,-23,139,0,0
57,8,0,0,0,162,0,0
58,1,0,5,-14,148,0,0
58,2,0,0,-5,159,0,0
58,3,0,0,-21,138,-8,0
58,4,0,0,0,162,0,0
58,5,0,4,-9,146,-9,0
58,6,0,0,-20,136,-12,0
58,7,0,0,-3,124,-10,0
58,8,0,0,-31,131,0,0
59,1,0,0,-15,121,0,0
59,2,0,0,-27,135,0,0
59,3,0,0,-7,134,-24,0
59,4,0,0,0,162,0,0
59,5,0,0,0,157,-5,0
59,6,0,0,-23,139,0,0
59,7,0,0,-4,141,-8,0
59,8,0,0,-27,137,0,0
60,1,0,0,-25,135,-8,0
60,2,0,0,0,161,0,0
60,3,0,0,0,146,-12,0
60,4,0,0,0,162,0,0
60,5,0,0,0,157,-5,0
60,6,0,0,-19,131,-12,0
60,7,0,0,0,157,-5,0
60,8,0,0,-19,131,-12,0
61,1,0,5,-25,106,0,0
61,2,0,0,-22,117,-22,0
61,3,0,0,-20,136,-12,0
61,4,0,0,-9,152,0,0
61,5,0,0,-22,141,-4,0
61,6,0,0,-5,158,-5,0
61,7,0,0,-22,139,0,0
61,8,0,0,-16,137,-8,0
62,1,0,0,-9,145,0,0
62,2,0,0,0,155,-5,0
62,3,0,0,-5,157,0,0
62,4,0,0,-4,152,-4,0
62,5,0,0,-26,129,0,0
62,6,0,0,-12,143,-12,0
62,7,0,0,-23,139,0,0
62,8,0,0,-3,108,0,0
63,1,0,0,-17,140,-4,0
63,2,0,0,-5,157,0,0
63,3,0,0,-14,147,0,0
63,4,0,0,-17,140,-4,0
63,5,0,0,0,156,0,0
63,6,0,0,-5,162,0,0
63,7,0,0,-23,139,0,0
63,8,0,0,-7,132,-23,0
64,1,0,0,-15,154,0,0
64,2,0,0,-4,131,-8,0
64,3,0,0,-23,144,0,0
64,4,0,0,0,164,-5,0
64,5,0,2,-19,147,0,0
64,6,0,0,-14,150,-5,0
64,7,0,0,0,161,0,0
64,8,0,0,0,144,-8,0
65,1,0,0,-3,103,-6,0
65,2,0,0,-9,152,0,0
65,3,0,0,-9,148,-4,0
65,4,0,0,-9,152,0,0
65,5,0,0,-10,128,-23,0
65,6,0,0,0,162,0,0
65,7,0,0,-9,149,-4,0
65,8,0,0,0,168,0,0
66,1,0,0,-22,128,-18,0
66,2,0,0,-4,152,-4,0
66,3,0,2,-11,134,-18,0
66,4,0,0,-27,135,0,0
