TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
52,1 2 3 4,1,52,CPLD,/run/devmap/xcvrs/xcvr_ctrl_52/xcvr52_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_52/xcvr52_present,1,0,52,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH3,104,/sys/class/leds/port52_led2:blue:status,/sys/class/leds/port52_led2:yellow:status
53,1 2 3 4,1,53,CPLD,/run/devmap/xcvrs/xcvr_ctrl_53/xcvr53_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_53/xcvr53_present,1,0,53,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH4,105,/sys/class/leds/port53_led1:blue:status,/sys/class/leds/port53_led1:yellow:status
53,1 2 3 4,1,53,CPLD,/run/devmap/xcvrs/xcvr_ctrl_53/xcvr53_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_53/xcvr53_present,1,0,53,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH4,106,/sys/class/leds/port53_led2:blue:status,/sys/class/leds/port53_led2:yellow:status
54,1 2 3 4,1,54,CPLD,/run/devmap/xcvrs/xcvr_ctrl_54/xcvr54_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_54/xcvr54_present,1,0,54,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH5,107,/sys/class/leds/port54_led1:blue:status,/sys/class/leds/port54_led1:yellow:status
54,1 2 3 4,1,54,CPLD,/run/devmap/xcvrs/xcvr_ctrl_54/xcvr54_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_54/xcvr54_present,1,0,54,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH5,108,/sys/class/leds/port54_led2:blue:status,/sys/class/leds/port54_led2:yellow:status
55,1 2 3 4,1,55,CPLD,/run/devmap/xcvrs/xcvr_ctrl_55/xcvr55_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_55/xcvr55_present,1,0,55,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH6,109,/sys/class/leds/port55_led1:blue:status,/sys/class/leds/port55_led1:yellow:status
55,1 2 3 4,1,55,CPLD,/run/devmap/xcvrs/xcvr_ctrl_55/xcvr55_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_55/xcvr55_present,1,0,55,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH6,110,/sys/class/leds/port55_led2:blue:status,/sys/class/leds/port55_led2:yellow:status
56,1 2 3 4,1,56,CPLD,/run/devmap/xcvrs/xcvr_ctrl_56/xcvr56_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_56/xcvr56_present,1,0,56,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH7,111,/sys/class/leds/port56_led1:blue:status,/sys/class/leds/port56_led1:yellow:status
56,1 2 3 4,1,56,CPLD,/run/devmap/xcvrs/xcvr_ctrl_56/xcvr56_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_56/xcvr56_present,1,0,56,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH7,112,/sys/class/leds/port56_led2:blue:status,/sys/class/leds/port56_led2:yellow:status
57,1 2 3 4,1,57,CPLD,/run/devmap/xcvrs/xcvr_ctrl_57/xcvr57_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_57/xcvr57_present,1,0,57,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS10_CH0,113,/sys/class/leds/port57_led1:blue:status,/sys/class/leds/port57_led1:yellow:status
